selected_text,sentiment
Perfect weather today! Not feeling good tho...,3
good,5
awake  slept in a little cuz no construction. now studying bio alllll day but i dont mind.,3
good!!,5
Excuse me ms.gomez who said you could leave,3
Thanks,5
Aww what a sunny day! Tasty barbeque with the family (: Got bad sunburn though,3
Gorgeous,5
Thanks,5
"wow, great to know",5
Totally just skid all over the road.,3
sorry!!,1
I stung myself with stinging nettles all down my shin,3
I miss,1
still awake.. will get some sleep i have to drive to Fortuna early.. Red Bull will guide me,3
bored..,1
I cant follow any1  on FollowFriday LOL u guys follow,3
Wearing my new Victoria`s Secret slippers,3
Having a long island ice tea,3
Sunburned,1
That would make my night for SURE. lol.  Goodnight!,5
i would prefer 1 more monday,3
Cubbies at an even .500. So what else is new?  No matter: Beat dem Bums! #chicago #baseball,3
not in the mood,1
Good luck,5
Thanks!,5
I crochet Laura. Simple stitches...I can make a mean afgan!,3
thank,5
fun.,5
lucky.,5
"have a great time in the Hamptons. Hope it`s for some relaxation, not for work",5
enjoy,5
As do I  Leopold says hello.,3
My shirt is a fuzz magnet today and I feel totally uncomfortable,1
yes please,3
e cranking spreadsheets,1
blocked,1
Having Problems,1
believes,5
Happy,5
fun!,5
"@_shutupandsmile ow  .. we go back to your last avatar, Is that your boyfriend who lying on bed?  i see it!",3
Crawling back into bed...because I can,3
ye it is not fare on me,1
tired,1
. I Love YOU,5
is busy creating a new logo for my  site,3
starting tm alex and i are doing a whole week of no going out and spending money that we dont have.,3
sadly awake.,1
He`s a good lad,5
"Unfortunately,",1
hate,1
My friend and I have a request that you play Nothing Sir when you hit Perth on Tues. From Jazz and Charni,3
i totally do not know how ticketless travel works,3
I thought it was pretty funny too!,5
"haha moms back today from a weekend away , her first words, ` whys the house so dirty?` i love life ..",3
hate u.,1
t AIDAN!,1
i hate,1
Really! No even a little bit of #pane,3
sucks,1
Thanks fo,1
"Is at Panera eating a bacon, egg and cheese with a coffee!",3
fav,5
Lovely,5
"Um, I was thrown from `s van yesterday and had to be taken to the ER",3
yeps...just for today though  I badly wanted to do some geek-shopping...,1
"foolish,",1
"I`ve got sunburnt knees... it`s funny now, but I bet they`ll sting later   Had a fab day though",3
aircon not working in my office,1
Starting some work on final year project. Just making some test pieces in flash to see how things could work. Listning to iPod too,3
Boring,1
Heading downtown! Drinks and dancing!!,5
Im so done with this cold.,1
thanks,5
those pages are expensive!   Stupid organizing collection,1
where`s the UK love?!,3
broken wrist,1
Guess I`ll be running in a little bit. Accidentally fell asleep,3
Cathylo-fran! I`m glad i can vent out to you about this. Thanks for being here for me bestfriend,5
Thank God for Mommies!,5
i love you.,5
boo,1
Is definitely working sunday afternoon to late evening,3
we spent lots of money for nothing. that`s boring,1
I only have 2 more seasons of X-Files to watch,3
s are fun again!,5
interesting,5
Yes. when I was talking to you...,3
I know... just when I was starting to think this break-up was gonna have me up all night tossin and turnin.. no ma`am!,3
lucky,5
so cold today!!,1
Thanks,5
i love you,5
"sucks,",1
Watching Ace of Cakes,3
won`t let me save anything,1
"yeah one burrito did not taste like the other, there was no avocado ranch sauce",3
happy birthday to me!!!!,5
i wish i was outside,5
happy,5
"Anybody have advice on who to use for printing biz cards besides Overnight (bad experience) & PsPrint, each biz card = sep. project =",3
not good.,1
troubles,1
Please bring  to your show,3
Threee WORDS . . . YOUTUBE BAMBOOZLE SHOW,3
im kind of sad..,1
http://twitpic.com/4jccd - and also these hi top Reeboks.  cause i can,3
a I`m so glad,5
life is good.,5
I HATE FLORISTS  No rose for cassadee tomorrow now =/ fricken **** florist people ={ hmm..need something else...hmm...,1
fun,5
"well, the requirements are quite high as well",3
looked like a ****.,1
we dont believe,1
denial can be very powerful,3
congratulations,5
"Wow.... I thought we`d only be gaming for 8 hours but here I am 13 hours later seeing the last person out. <_< Long session, but fun.",3
"Oh... according to mom dad is going to try and take 2-3 weeks off in Sep. to go to Austira, and just wrap a vacation into it as well lmao",3
EPIC moment! hahahha i swear.. i really wanna see it,5
positive,5
interesting,5
YOU SHOULD TOUR!! *lol* I live all the way out in Tennessee! :-P jk. How would you do that?,3
only an hour left with my iPod touch,3
HELP ME,5
"is laying in bed, wishing i could meet Kellan Lutz.... haha im a nerd...dream on",3
is over,3
jealous,1
wrong,1
ur moving to leeds?? wut are u doing up there? work? ur just a jetsetter..i wanna move to England too,3
my phone is dead and my charger is miles away.. _S_R  i`ll talk to you in august,3
as pretty sweet.,5
MTV Movie Awards. Go vote! STAT,3
Why do you not respond me?,1
AHHHHHHHH omg Pridelines got talent is giving me a headache!!,1
i love those boys. i missed the chat yesterday  it was the firts & only one i`ll miss though! <333 Nick Jonas <3333,3
Harder,1
"No running for the past couple of days due to bad knee   Still, Guitar Hero Metallica arrived and has kept me amused...Time to ROCK!!!",3
cute.,5
when do the stars come out??,3
"all Benicks fault ,i so dislike him. >=( Well Good Nite World!",3
"10 yrs ago, on a night like this..id have been drinking with co workers, then went home got cleaned up and went clubbing..",3
best show,5
"lol, as a target employee they forbid me from that place, no i usually go in and buy like everything along with commenting",3
just now i know how twitter exactly work,3
perfect,5
"SO upset for about 2 hours. Tried soothing him in bed, nursing, etc.",1
d I hate it!,1
"weird, `cause i synced mine this morning and got the new episode...",3
same with drunk guests.. Our jobs are pretty similar sometimes,3
"ly, I`m not allowed to cross the borde",1
lol if i only can sTay up a few more hours.. i keep missing Tila`s lasT posTs ..,3
i know  mark is still one of my favorite boys ever. So nice and adorable.,5
she doesn`t love,1
_ A blouse! ahahaha I gave her money and she went to get it!  Where`s your mom??,3
If you mean backround then.. Settings>design.. scroll to the bottem and click change backround image  & there ya go.,3
hate it so much.,1
Got bored.,1
recovering from being sick,5
delight!,5
Very funny Thanks,5
love,5
lucky,5
AH! STEPH TWEETS!,3
AWFUL,1
"if you could get down to easton, you could join us!",3
baked a cake & watching a movie.,3
Todays the day Twitterland...house closing begin at 11 and we should get to start moving in @ 3 into the new place.,3
It was funny.,5
Just downloaded parnoid,3
k. Happ,5
me me me!  lol,3
"Now, what on earth led you to believe that?",3
Happy Birthday tooo meeee...,5
gorgeous,5
Goodnight,3
That movie is gonna be hilarious.,5
"Sam, may I ask an odd question?  What might your fave animal be?",3
****:,1
What happened to Dave?,3
am sitting in the library with eyes half closed cause havent slept in a while coz of exams,3
Yes - noticed that after the retweet..,3
breaking.,1
oh! i love that as well!! all of MCR songs are great!  and happy star wars day to yaa xD,5
shut up  you know what! oll just like zack again then.,3
allergic,1
favourite,5
I just ate some burgers from Jack In The Box and im not sure if I want to continue eating burgers,3
bad..,1
oh you and  had free drinks?! thats wasup..Im givin up drinkin for a lil bit,3
"*uh* totally forgot the gentoo reinstallation  don`t know what i should backup. the make.conf, my home and /boot. nothing else..?",3
Stuck in awful traffic in the way to the wedding.,1
"Off to bed after hours on the phone gossiping with Bia, lol. Nite nite, sleep tight!",3
I`m sorry,1
delicious! such a gorgeous day,5
s pretty awesome,5
SNL with Justin Timberlake!,3
Looks Yummy.,5
Twitter <3,5
"NO tickets,",1
"yes, at an upgraded consumption rate, too",3
"300 updates  actually 13,527  lol",3
Not feeling very well.,1
Dont want to be a lonely drunk tonight,5
Thank,5
he`ll be out of school in 18mos! He just started again,3
showed my fluid decreasing slightly so doesnt look like Im getting out of this bed anytime soon  Ive got a follow up U/S next week,3
"talks about _Dunk http://partyends.com/blog/?p=1654 , their CD release is tonight at Stubb`s! Wish I could go support!!",3
"hey jesse, here`s your background  let me know what you think! http://tinyurl.com/cf2yuj",3
****....game starts in 30 min!!,1
s so awes,5
arre seriously! They shud take his sperm nd clone him into 23 yr old single guys,3
I want a massage!!!,3
"Someone just sent me a random phone pic of Asian cats (with the paws in the air like in sushi/Chinese restaurants), and I don`t know who",3
Sick,1
"If I knew it was gonna be this kind of party, I would`ve stuck my **** in the mashed potatoes!",1
hahahahahahahahahahahahaha  that could be interesting,5
He`s off...again  i wish he would make up his frickin mind...,3
"WTF facebook just cleared out my whole survey and i was on the last q, this night gets better and better  what else is next?",5
****...the right side of my earphones just stopped working all of a sudden. Now I need to buy new ones...,1
e looming,1
bah! bk on reception  comps aint working.....BUT the sun has got his hat on hip-hip-horay,1
"how abt we wait til summer, and do this at ur place...ima need somewhere to stay anyways",3
Thanks,5
Haha... How could u? dun eat properly rt? see lar~ Go take medicine,3
"Love, laughter, creativity.",3
appreciate,5
too hot,1
i love you!,5
"Ya, it was pretty bad",1
poor,1
knee surgery.... back home for about 6 weeks,3
hope,5
Good,5
sucking,1
My friends are awesome!,5
love,5
"Lets change this S0ulja B0y te|| em trending topic to, 'Soulja  Girl Told em'",3
t lyk any othaa gurrrrrl i,5
=tastes like ****,1
Amazing,5
I need skott right now,3
hello hello hello  what u up to tonight??,3
sorry,1
i wish,5
loll,5
caught,1
. STUPID MOM FOR MAKING ME GO UP,1
friendly,5
best,5
that`s because of all the stuff that was stolen while you were gone...,3
Whew!,5
(bye) plurk out muna. will be back when im done reading the book,3
bless,5
I`ve been killed,1
thanks,5
Poor .  The flowers are fornicating with HIS nose now.,1
just got home from a meeting with the girls... Maaaaaan I`m exhausted!! Goodnight world,3
I wanna see Drag Me To Hell  Someone take meee!,3
Cheese Cake for my chweet mummy ! muaxxx,5
I miss my cousin so much,1
wow yo my boy is really gone! Smh yo! Its bout to be 3 weeks on Sunday!  R.I.P VON,1
bored.,1
Flo is one of my Backup wives in case Renae gets abducted by Aliens or Russians. But if Flo`s pregnant it changes things,3
AMAZING!,5
"No, havent heard anything about the show   It hasnt been on on saturday nights, but there are the occasional sunday reruns",3
It`s Just So Audioo.,3
Everything,3
s funny,5
This is sad,1
neck hurt to,1
I was supposed to go boating/songwriting in Cape Cod.. but its cold and rainy,3
Hahahahaha i rember when i riped that william picture out of one of claires mags. I beated zoe to it,3
"Oh no, hubs is so sick! I hope I don`t catch it",3
happy mothers day,5
loves fr,5
WATCH OUT WORLD!,1
GOING TO WATCH SUPERNATURAL shall return afterwards  ****,3
shame,1
cheaper.,1
sucks,1
dead.,1
"i am boooooooored,",1
Hurray,5
yayy!!! Im gonna see you today! I miss you!,3
sore,1
m embarrassed,1
oh thats hard-going. I`m writing a book at the moment so am motivating myself to press on with that.,3
thanks.,5
Goodnight,5
worst day ever...,1
lost,1
boring.,1
Daughter has a 45 min orthodontist appt and I forgot my ebook reader,3
"so give me a quick update grace, you`ve quit the foodland job and you start at JB`s tomorrow full time? heaps exciting",3
Hard,1
Great,5
repair,1
Oh my `Mix Khichadi` seems to be ready now .. time for Lunch  !,3
it hurt for real,1
good to know,5
thx for all the nice,5
****!,1
Got 2 get ready 4 work  would rather be fishing!,3
Sad really.,1
i had a great time tonight!,5
"browsing thru adopting agencies, i`m gonna get some exotic kids",3
im following because of   yaaaaaay conor,3
loooooong day,1
dont quit.,3
Finally it`s Friday! Things are going to be so different starting next week...my house will be empty!,3
I am loving this beautiful monday morning!,5
says everyone was busy,3
Heading home in the rain  no pool today...guess I will hit the treadmill instead.,3
My roommate has officially started packing,3
love,5
lovely!,5
s awesome,5
_b I met  at EPIC - he said you were at SS Coffee... I thought he just meant sitting there drinking a lot of coffee,3
did it!!  back in pakistan! - http://bkite.com/07kBQ,3
"Easy,",5
_127 not nice.rather be one or the other.lol,3
whenever it rains it`s so hard to get motivated,1
chillin` with Kealie.,3
I am lost. Please help me find a good home.,3
sadly,1
can`t leave for lunch,1
I wish he was still around.   there was a litter under our azalea. I caught DD in the back yard @ 6 am with bunnies in her lap.,3
likes being friends but it hurts when u love your friend but the feelings arent the same. trying to sleep. has to really try to give up.,3
Happy Star Wars Day everyone! May the 4th be with you,5
I don`t know who gon do the yelling & cussing for upgrades when u go.,3
glorious mood,5
They don`t do car audio,3
wonderful,5
Good,5
Watching Jimmy F.  delete all his social network profiles  No more Jimmy cyber time.,3
the grates & children collide tonight,3
I thought I was the only one with the tags on the outside of my shirt,3
There are ants on my lollipop,3
thanks,5
now off to missing him,1
and  there is no top 40 radio station in fresno!,3
Still working on music grades...outside on the deck...sun is behind a big gray cloud,3
i tryed that the other day but they werent giving up what they were using!,3
fun,5
"Wal-Mart orientation...it`s work, but seriously...this sucks",1
y thank you!!,5
"oh dear, thats not good - I hope you get through it all with a smile",3
Ahhhh I think the rain is gonna begin shortly,3
scary noises,1
Oh I know. For a while they cancelled the 5pm Oxford to Paddington every Friday evening because of staff shortages,3
puppy I wanted was adopted yesterday  I guess my dogs don`t get a little brother anytime soon. but at least he isn`t in a shelter now,3
In class till 12  wishing the rain would go away!!,3
a buff guy.....unfortunatly alot of people dont know Danny`s name either which is sad   Sophie is so sweet,3
An extra night in pasadena with sergi baby cuz i `missed` my train to riverside,3
sucks.,1
im sorry.,1
plz dont fall in love with tokyo and never come home,3
"Ride bmx on the beach in Burgas, after careoke night",3
love,5
"ease of use, better camera, syncs w/iTunes, smaller (I looked at Storm), more eye-appealing & not clunky. -just a few!",3
loves the new Mother`s Day,5
Back from NYC... convinced on moving to the LES by Fall,3
"May the force, be with you",5
"ned to go to beathroom, don`t know if i can reach/find clothes. need to walk outsie to get to bathroom. ok at night, not ok in daylight.",3
Halla Miss Haloom  .. how are you dear? am doing fine so far but .. eeem worrying about rationale project.. Allah eyaseer inshallah,3
"Duuuude, Tim said that they`re making a Red vs Blue animated series! It`ll be either on Adult Swim or G4. I hope AS, coz I don`t have G4!",3
"*laughs* reading?!  not happening!  i`m glad alice was in the shower, she should`ve seen that we were going to be worried",3
"HAHAHAHAHAHAHAHAHAHAHAHA I love it!!! No, actually, I have been having mad cravings lately though",5
_Jolene Try 90 4 next 3 days!  :O  Yuk!    lol  n e thing poppin` @,3
pain,1
yummy thanks  strangely quiet too. Kids are downstairs harassing Lance,3
it`s not even funny!,1
Link doesn`t work,3
happy,5
we miss you in SE Asia. Come visit us when you have time.,1
"Hey, sorry I didn`t get in touch sooner!",1
is actual gonna need a new job and not just want,3
Got in a car accident! Pr,1
**** your in trouble now,1
"Ah, lets start working! Livingroom here I come",3
lonely,1
Im still in my my pjs  but I haveto get dressed cuz Im going to see Dancing on Ice live,3
My last full day of even day classes. I`m a little sad,1
G`night!,3
YAY!!,5
. bad day not good,1
Working 12 hours saturday and sunday  atleast i`ll have my phone to keep me company..,3
my fab broke,1
i graduate at 9am on Sunday June 14th...,3
argh,1
looooove,5
Oh yah!,5
Yummm-,5
sooo long twitters! I`m off to Cuba,3
nothing happens..,3
Eeee! Hiya!  Haven`t spoken to you in ages! How you doing? *enormous hug*,3
sorry..,1
good.,5
no wine here - I don;t drink  - but I have have plenty of forbidden cholocate,3
problems,1
let be me your first,3
"dont know why so tired today  bye,",1
Beer pong  at 6am  with jess,3
just saw a baby blue regal with the word 'SLAB' written in huge letters on the side  hahaaaa,3
cute,5
Woo! Nachos AND ice cream  haha,3
Will be your DJ for a little while! Tune in if you want  www.soompiradio.com,3
"milan is retardeddddddd, anyone wanna see my paint pic of him ???",3
"Still @ hospital, unexpected complications",3
bad luck  oh well next time you will be more lucky...,3
_Roy i tell them it`s facebook minus everything but the status updates.,3
thanks will try to behave,5
"hey you, honey bear! Don`t goooooooo  puhleeezeee..",3
"just woke up, hopefully going to see the Xmen film today?",3
Heading to Beaumont,3
Happy,5
happy,5
"My tooth is bloody killing, not sure I can wait until next week to get it fixed",3
any other Mac users completely given up on Google Chrome?,3
going to sleep with my baby,3
"to  and , thanks for following me.",5
; why is the font so huge?! small fonts rock socks,3
love,5
? You`re making poor,1
I`ve just now relized this is a bad thing.  And a good thing. I dont know.,3
its almost lunch time for you,3
absolutely fantastic,5
gorgeous,5
wish,5
miss,1
greattttt!,5
Listening music with my friend,3
****!,1
it was really quite sad,1
nice,5
I HATE CANCER. I HATE IT I HATE IT I HATE IT.,1
Haha most def ^__^ Rob a bank with me so i could get all the swedish fishes in the world,3
was boring but had to eat nonetheless,1
"a reply from  would  make my life, he replies usually to the people who call him ****, then he tells them he willblok them",1
please?,5
fun,5
"****! First Yes, than Frank Zappa...",3
ch sucks hardcore,1
I am not feeling well,1
"Every time it rains, I see at least 1 ambulance",1
Lovin  the clean shaven Mr Flowers!  He looks so young!!,5
i hate getting put on steroids.,1
cool,5
I strongly recommend it!,5
"yeah, but no closer to the secret of stumble.",3
bad.,1
I`m sure  would know of more,3
You have to come to Chile... with AC/DC would be fine,3
ood morning to all- and welcome new,5
Lying in bed with my most favorit girl in the world. happy mommys day to me.,5
i hate that song,1
Silent treatment is a great torture method,1
is at the farm doing what i do best...RIDING MY **** OFF!!!...get at me,3
depressed,1
Prowse? I got a Christmas card of him last year.  & I wish I had the money right now. Saving for an apartment,3
looking forward to seeing you,5
everything is near here in SG! but you have a point--sana hindi sa Jurong East ang office ni,3
super happy,5
is totally more efficient.,5
suckss,1
bother,1
i was too slow,1
Blogging-- http://13tolife.us/ Mentioning links to contests where you might just win a free book or two!,3
o slap,1
thought provoking,5
hurts!,1
I`m confused and sad,1
but thats 7 weeks away  Im sure we got by only tweeting at night before?,3
excited,5
#NAME?,3
lame,1
miss,1
First sports banquet without katie,3
Yay! Thank you.. Feels like ur yelling at us   LO,3
nice,5
"LOL, very true. I`ve been keeping an eye out for that - they arent very tech savvy so I`ve been alright thus far",3
delicious!,5
dinner was yummy and all... but i`m still super tired after all the things we went through to enroll for college.,3
ouch!,1
better,5
"oh noooo, did he not get through?",1
and now its raining,3
-winks back-,5
1/2 day tomorrow  carla coming over after school.,3
& . Thanks for the lov,5
love,5
its awful breezy out here good thing they sold blankets!,3
I miss the concert Tuesday already. I`d really like a time machine to go see it again... It was so fun...,3
"Need to dye my hair, can see a slight hint of ginger",3
"_World LOL! poor cubbies! brewers on a roll?? my rangers lost, but my Leafs won!",3
its like 2 in the morning..sometimes I just don`t know exactly what is best to do..but I will def. figure it out!  ...HAPPY MOMS DAY!,3
"Home, getting ready to back to work on Monday.  Maternity leaves is up",3
good luck,5
"i got one too, but it was on a usb key without the fancy packaging",3
yeah...she passed last week.  so sad!,1
The sun is hiding hes having a lie in  hows you?,3
I knw maan! i was gonna say the same thing. We both would become omelettes and others would become chapathis,3
a happy mothers day!,5
thank you for the re-tweet,5
sorry,1
i want to! but im not over 18 and t&c says over 18`s only  wanna make an exception for me ;),3
..gotta love ikea,5
Indo Girl in Thai Traditional Clothes being object for tourist at Wat Arun,3
whoa... if the alcohol won`t get you buzzed... the price will,1
Sucks.,1
Stupid bird strike.,1
I feel violated.,1
good,5
**** lame..,1
Great,5
good day,5
"just spent the day with Bridget and a small thing that got wind and farted a lot - oh yeah, her baby! Now slightly broody!",3
not happy!,1
unhappy,1
favorite album of all time,5
im so upset u were at US weekly my uncle works there but he apparently didnt know how big of a fan i am!,3
"If anyone has a dreamwidth spare invite code lying around, could you please spare me one? Pretty please?",3
I meant mamas,3
i have never seen Wall-E. i am confused because i had no idea what you guys were talking about... hehe!  now i do though!,3
Hey! That`s about what ours was... for round 1. :/ Round 2 next week...,3
"Woke up.. Walked out of my room, and a bug flew in my eye",3
I don`t feel good. Haven`t felt good in 4 days,1
Is not looking forward to the LSAT,3
enjoying the great sunshine.. from indoors.. I don`t feel good today,3
my stupid msn wont sign in,1
So guttered that Ruby got eliminated from NZNTM..  I`m all about supporting the locals. Haha. Hosanna better not win..!,3
http://twitpic.com/4wh0o - My mommys gummy mothers day posterrr!,3
favorite,5
#sad,1
love,5
you didn`t say you were leaving yesterday! You won`t see me at the house anymore once you get back... tear tear,3
hope ur day is also quite successful,5
great,5
Happy,5
Its kinda nice,5
Should have grabbed some on the way to work,3
Just home from work!!!!! Need to continue packing. Raerae is gone for the weekend.   Mya and I are hanging out,3
speechless,3
"ooh i know it, i can hold your hand",3
whole ebay hacker th,1
I thought when u go #2 your tummy is supposed to feel better not worse,3
she is sad,1
Getting a pedicure. I love these. My massage did not include a leg/arm/foot massage today.,3
hurts,1
good night,5
"i was awake 7 hours ago, should have checked twitter",3
wish everyond a Happy Mother`s Day. Hope it`s a great one!,5
"Dagnamit, latest power twitter update is pants - no clickable links",3
**** my life...,1
new neighbors are moving in.... off to give my brazil presentation that i shouldve given on wed!!! but some people went overtime,3
Chilling at home,5
Off work,3
nd I am sure you will be fine,5
Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #f,3
I trailed the streets of Sheffield and couldn`t find the pub!  And all the numbers I had were landlines. How goes,3
dedicating the next 2 hours to cleaning the house,3
Sunday and Mother`s day!,3
Translate XMind to your language.,3
Happy Mothers Day,5
"Happy Mothersday btw! Look at the bright side, you can chill all day today",5
Bored..,1
Having Fever  dont feel to work,1
i finished all my work!,3
"No this is not redirects, this is just updating posts on our website massage.dk .. next item => publish, next item => pulish",3
We were so busy I didn`t even get to talk with you!,3
It`s called a RipStick.  When I had a job I sold a lot of those...,3
Sorry to hear.,1
"Hey boys, do you wanna see my teeth?",3
sad,1
in the sun and changing my default icon just for you  what`re your plans?,3
do you have a password for the San Diego show? Mine is not working,3
liked,5
"_haze aww I^m sorry that Ray Wise has appeared on the show yet   , I watch  everyday except for Friday its a best of AOTS.",3
"they are, aren`t they.",3
"I looove guitars, and playing them. I think they sound magnificent.",5
Poor little MBA,1
g`mornin,5
Huge fail -- it`s SUMMER!,1
OMG mackillop has swine,1
miss se,1
it`s been hectiv runny around after the women but goof  just making them both a surprise now,3
Good thing I live my job.,5
sore,1
"This is my new College project, i just wanted to share it  Hey Mr Bartender - College Project http://bit.ly/Ba3Nf",3
Ugggh. Its so nice out! I don`t want to be working with back-up dancers.,3
BUT all the good food makes me sick,3
ping pong tomorrow,3
ended up being happy,5
good,5
best,5
gettin ready for school my new converse come in today!,3
love,5
sun burned me,1
wow you are lucky,5
vineri...nimic special sau probabil un alt weekend pierdut...,3
Western Digital Caviar Black 1TB SATA 300 NCQ 32MB on the way...,3
"if i make some madeleines, i need to have a bake sale or something. god. boredom needs to = something other than baking",3
I want one  wanna give me one? ;),3
well deserved,5
is clamped out...haha,3
feel left out lo,1
: ''UB40-'Bring Me Your Cup'''  ? http://blip.fm/~7af72,3
willing,5
er grea,5
"how is it, is it good?  _flora",3
"TV is shite,thank god for youtube",3
anychance you can get matthew to give a shout out to my mum Sarah for mothers day! we saw 'Ghosts from girlfriends past today',3
Absolutely ...,3
i dont wanna go back to school on monday :`( enjoying the hot weatler lo0l ;),3
o I`m not holding much hope,1
migraine lingering,1
You`re gonna wear pink outfits??? I assume she bought it for you,3
taste snack to eat,5
So treat your Mom`s like Queen`s,5
i wish i had a 12hr nap!!  lets talk rachel into getting one of these now.. lol,3
not coming,1
My Boss is in Las Vegas on the 14th A.P.P. Conference.......pfff,3
"smile, and count your blessings everyday. Your actions speak volumes, sooo inspiring",5
perfect.,5
"my neck hurts from moving out  you massage me, i massage u?! lol!",3
tweet often and it`ll draw followers to you,3
good,5
broke,1
"Woke up at 5am. Cleaned camera gear from last nights wedding. Should really go back to sleep, but kids awake.",3
LOL yea the fondue is on point... but that Chocolate Lava Cake is what you really want...but I wont be here   Im Mon-Fri babes!,3
New phone isn`t syncing with my computer...I need numbers,3
sad,1
miss,1
I love #polaroid - such a shame they don`t make the film for it anymore,3
Im so down!,1
More reason to revel,5
"Had a great day, apart from the fact that I bought a USB HUB and as soon as I plugged it in, it broke!!!!    **** you Tesco!!!!!!",3
loser,1
waitin for some Fall out boy,3
lovely.,5
better,5
just got home from the sunshine coast,3
Refreshed,5
i feel sorry,1
_ more than youl ever no ! !! ! !!   ****,3
i love the Purate ENglish sooo much,5
not feelin well...,1
??    hope you have a good day ;)   i love,5
what`s going on,3
"I was, I took your advice and it was most enjoyable  I am too small to be out alone or I would`ve just come over lol",5
hey  what`s up?,3
pooof .nirvana. Did that work?  http://myloc.me/tDl,3
It went well.,5
O amaaaazing,5
ck lol,5
aw. wasn`**** sad?!,1
way out of hand.,1
it is impossible to resist ;),5
nauseous,1
is super stressed!,1
Have you managed to breathe since getting the news?,1
hate 90,1
kill,1
i just had the weirdest dream ever and can`t see because owi credo is too brighi. But i hate guys,1
"Happy Birthday, David",5
"just finished some Sunday cleaning, waiting to read the next chapter of Kiyosaki`s book so i can hire a cleaner",3
How about SUSE?,3
I`m surrounded by negativity good thing there is a Fly Guy to give me hope that there is something better  thank u Jesus,3
messed,1
Is @ the pantry,3
GREAT,5
awww  don`t do this to meee haha now you`re gonna make me saddd,3
exciting.,5
trouble,1
It`s the start of a new week with tons of new photos to take and edit  Yay!!,3
so early??,3
sucks,1
I could have! I had extra tickets. Plus we had two Twitter Giveaways  We`ll get you next time.,3
My head is hurtin,1
fantabulous!,5
yummy,5
i hate you josh,1
won,5
#NAME?,5
wish,5
"they really do need to mind their own business, eating disorders are NOT the only reason people have to vomit, assholes",1
"Going to bed, night all",3
girrrrrrrrlll i`m going to miss you so bad!!!!,1
. Haha I want another bagel. I have all this blueberry cream cheese left and no more bagel,3
just dropped my biscuit in my tea,3
struggling,1
lotsa water. it`s already dark out,3
getting rained out @ the devon horse show.  *head desk*,3
"tiny PhD`s will do, because those bigger than me keep taunting me",3
"seriously underrated.. `porridge`, the best breakfast in the world... ever. doesn`t need to be gloopy, as long as it is made just right",3
In this exact moment i have decided that in some point in my life.. i am going to adopt a child,5
Sick,1
"wow,",5
loved,5
"I am sick, very sick, sore throat and flu",1
What are we doin!!?? Tell me! tell me!,3
didn`t know the statue in the Venetian was a real man and screamed so loud everyone laughed,3
thanx,5
_tina @_adriii guys  i am literally going to sydney in the june/july hols. can we meet? i wanna try one of those lindt cafes!,3
tired.,1
Gone to the shiggity shwa. back Sunday.,3
well sore,1
I`m the heir to the over draft,1
hahahahah!! 04 would be the chief contributors. lol.,3
It often pays to wait,3
t cuz ur cool,5
no go on the bro down tonight for brett,3
Liked,5
sick.,1
in a meeting discussion colour of bikeshed,3
killing me,1
hard,1
"being a fan is certainly not about being attractive. But, if you like the pink, to each their own  #canucks",3
voting for you Hope you are voting for me I am now a white blank with my name  mr Twitter and Funniset,5
glad,5
u wouldn`t listen or let me prove it.,1
Off to finish the book 'nudge' then going to write some,3
No one to rub it in,3
Thanks for starting to follow me.,5
OLD & TIREDD & WASTED!!,1
****,1
"wow! ever notice that some twitters have thousands of followers, yet they only follow a handful (actually, less than two hands) of peeps.",3
ohyeahhh  hate the heat,1
Unfortunately,1
You make me smile...,5
at work  closing files,3
We expect One Man Band to be released sometime next week,3
better.,5
sunburnt,1
'Perfect,5
Just woke up  shopping today for my birthday....kinda,3
crazy...,1
Yeee!,5
"never tried to FTP to S3, but I use FireFTP (Firefox browser addin) ... no mention of S3 support on their site though.",3
i cherished all the moment i had,5
I dont care what kind of graphics or engines video games have nowadays. They are nothing compared to The Oregon Trail and Carmen Sandiego,3
I feel better this morning,5
dang need to go to cousins and i didnt upload all the videos  now i need to do it later!,3
"hurt my left knee somehow last night, hurts to walk",1
grrrr i hate this ****,1
its failing,1
Shopping with  beckyyy . Going to starbucks in a minute.,3
"all pugged in and ready to go. device updates on, so feel free to bombard me at any time.  Time to actually get something done.",3
"Back from the gym, just checkin` email. Gonna go watch an old movie or something. It`s a little cool out to sit outside and read!",3
Very cute,5
you guys are the bomb haha,3
just got back from seeing Star Strek,3
great,5
Good,5
fun!,5
a bug  in coding,1
a crash,1
thanks!,5
Just getting an additional free day,3
Great day.,5
Happy Mother`s Day!,5
missed,1
"That`s so nice to hear  i love you, you`re my best friend and my sister *hug u*",5
hehe i will never thorw out these shoes  i`m listening to varsity fanclub surprise surprise  sway sway baby is awesom,5
like,5
Niceee  Hey i never get stickersss,3
Is revisingg,3
i hope its worth it,5
Everything does not look as good as it is..,1
I feel 5 pounds lighter,3
SO MUCH WORK !,1
holllaaa.. i dont know what ur up doing but im trying to finish up some work for school... bout to go to bed though,3
d im all theirs,5
Tired,1
perfect!,5
"we live a life on the edge of things, and one foot foul of the law!",1
#NAME?,5
thank god for one of those days,5
oh no! :|,1
"Aw bless her,",5
happy mothers day to all motherssss!,5
forget,1
